100
1 100
61 75 30
61 78 12
61 84 36
61 95 29
61 96 32
61 97 25
61 99 18
62 64 20
62 71 24
62 72 14
62 77 39
62 78 12
62 79 30
62 80 21
62 95 20
62 100 22
63 64 14
63 67 21
63 68 21
63 69 12
63 70 35
63 71 18
63 74 21
63 76 32
63 82 24
63 85 39
63 86 25
63 89 23
63 90 25
63 92 40
63 95 15
63 96 11
64 66 25
64 69 20
64 71 30
64 80 29
64 89 16
64 91 17
64 93 31
64 98 12
64 99 34
65 67 21
65 71 16
65 74 24
65 77 15
65 84 40
65 89 33
65 94 21
65 95 25
65 99 38
66 75 36
66 76 27
66 86 21
66 87 19
66 96 35
66 98 31
67 71 11
67 76 23
67 78 40
67 80 21
67 85 13
67 86 14
67 90 40
67 91 21
67 94 30
67 96 23
68 69 21
68 72 30
68 74 20
68 85 35
68 89 22
69 70 39
69 73 20
69 74 16
69 78 38
69 84 11
69 85 23
69 88 17
69 89 33
69 96 37
69 100 20
70 73 38
70 79 39
70 80 31
70 81 20
70 83 23
70 84 12
70 86 28
70 92 23
70 98 30
71 83 32
71 87 12
71 94 40
71 96 40
71 97 25
72 73 30
72 74 33
72 83 13
72 84 40
73 74 34
73 75 30
73 79 36
73 88 11
73 96 31
74 79 20
74 85 36
74 88 22
75 81 20
75 84 14
75 88 16
75 89 24
75 92 30
75 93 15
75 94 30
75 95 19
75 97 21
76 79 40
76 81 33
76 85 40
76 87 29
76 90 12
76 92 30
76 97 25
76 100 12
77 79 14
77 84 11
77 85 40
77 98 39
77 99 15
78 89 23
78 91 34
79 81 36
79 90 24
79 97 20
80 84 14
80 88 24
81 85 15
81 86 13
81 96 28
82 83 29
82 86 31
82 91 36
82 92 30
82 99 10
83 88 17
83 91 27
83 93 40
83 96 22
83 98 15
84 85 20
84 89 19
84 92 13
84 97 26
85 94 16
85 98 18
86 89 33
87 91 17
87 96 26
87 97 29
88 90 32
89 95 24
90 92 11
91 99 23
92 98 17
93 96 27
94 98 17
95 96 17
95 100 11
97 98 34
97 100 34
